deposit_id,user_id,deposit_date,amount_eur,payment_method,status
D700000,U102645,2025-08-05,44.25,Bank Transfer,Completed
D700001,U144772,2026-03-01,365.29,Google Pay,Pending
D700002,U105295,2025-04-13,454.61,Bank Transfer,Completed
D700003,U132979,2026-04-10,106.48,Google Pay,Completed
D700004,U139304,2026-04-23,165.53,Bank Transfer,Completed
D700005,U147747,2026-08-15,1192.96,Bank Transfer,Completed
D700006,U123969,2025-12-06,352.63,Bank Transfer,Completed
D700007,U129859,2025-11-14,76.88,Card,Completed
D700008,U138585,2025-09-29,382.47,Apple Pay,Completed
D700009,U149316,2025-09-20,183.98,Bank Transfer,Failed
D700010,U104841,2025-12-16,1008.66,Bank Transfer,Completed
D700011,U115655,2025-03-26,260.83,Card,Completed
D700012,U122907,2026-02-24,1197.71,Bank Transfer,Completed
D700013,U106011,2026-03-19,188.31,Card,Completed
D700014,U116415,2025-10-04,3120.6,Apple Pay,Completed
D700015,U147647,2025-10-18,284.48,Card,Completed
D700016,U104367,2026-04-18,476.89,Apple Pay,Completed
D700017,U129291,2026-05-15,152.65,Card,Completed
D700018,U145150,2026-01-02,384.11,Card,Failed
D700019,U103983,2026-07-06,215.92,Bank Transfer,Completed
D700020,U140327,2025-11-24,826.23,Google Pay,Pending
D700021,U131007,2026-05-13,456.4,Card,Completed
D700022,U124586,2025-03-22,263.28,Google Pay,Completed
D700023,U134248,2026-04-07,133.76,Bank Transfer,Completed
D700024,U139883,2026-08-07,63.15,Apple Pay,Completed
D700025,U103769,2025-11-06,719.05,Bank Transfer,Completed
D700026,U105792,2026-05-15,425.72,Google Pay,Completed
D700027,U129922,2025-05-01,218.28,Apple Pay,Completed
D700028,U115391,2025-12-04,168.47,Apple Pay,Failed
D700029,U111004,2025-09-19,238.64,Card,Completed
D700030,U116905,2026-01-03,265.53,Card,Completed
D700031,U136100,2025-06-07,113.47,Bank Transfer,Completed
D700032,U129468,2026-04-01,359.63,Bank Transfer,Completed
D700033,U107980,2025-08-25,154.03,Apple Pay,Completed
D700034,U148661,2025-11-16,97.56,Bank Transfer,Completed
D700035,U100436,2026-01-02,21.0,Google Pay,Completed
D700036,U105584,2026-06-20,88.71,Apple Pay,Completed
D700037,U131338,2025-11-06,42.05,Bank Transfer,Completed
D700038,U117330,2025-05-12,215.73,Bank Transfer,Pending
D700039,U109942,2025-11-28,146.72,Card,Completed
D700040,U121246,2025-05-16,340.28,Card,Failed
D700041,U149177,2026-04-14,202.19,Google Pay,Completed
D700042,U128692,2025-08-06,768.51,Bank Transfer,Completed
D700043,U147716,2026-03-29,984.28,Bank Transfer,Completed
D700044,U124509,2026-07-28,67.66,Bank Transfer,Completed
D700045,U133658,2026-01-17,634.9,Apple Pay,Completed
D700046,U102598,2026-08-27,1114.11,Google Pay,Completed
D700047,U148234,2025-10-04,318.44,Google Pay,Completed
D700048,U101601,2025-11-01,164.18,Bank Transfer,Pending
D700049,U125937,2026-03-25,213.84,Card,Completed
D700050,U138692,2026-02-26,45.54,Bank Transfer,Completed
D700051,U109367,2026-05-02,884.9,Card,Pending
D700052,U109490,2025-10-30,564.2,Card,Completed
D700053,U108424,2026-03-30,123.69,Card,Completed
D700054,U113115,2026-06-27,371.71,Card,Completed
D700055,U122528,2026-04-01,782.67,Card,Completed
D700056,U127615,2025-05-11,453.67,Bank Transfer,Completed
D700057,U118775,2025-12-27,156.9,Bank Transfer,Completed
D700058,U138543,2026-08-20,761.14,Bank Transfer,Completed
D700059,U115419,2026-04-13,2436.33,Google Pay,Completed
D700060,U125572,2025-11-22,629.56,Google Pay,Completed
D700061,U125201,2025-04-29,156.46,Google Pay,Completed
D700062,U126559,2025-12-09,129.5,Bank Transfer,Completed
D700063,U146619,2025-06-18,635.14,Card,Completed
D700064,U132134,2026-01-21,160.72,Bank Transfer,Completed
D700065,U114472,2026-02-04,825.47,Bank Transfer,Completed
D700066,U122460,2025-10-15,307.18,Google Pay,Completed
D700067,U121970,2026-03-21,636.28,Card,Completed
D700068,U117876,2025-08-17,366.97,Google Pay,Completed
D700069,U102714,2025-10-10,59.55,Card,Completed
D700070,U118565,2026-01-06,258.36,Bank Transfer,Completed
D700071,U148966,2026-01-08,77.74,Apple Pay,Completed
D700072,U108966,2026-07-08,31.09,Card,Completed
D700073,U104707,2026-01-22,81.57,Bank Transfer,Completed
D700074,U105687,2025-10-29,102.65,Google Pay,Completed
D700075,U107681,2025-04-21,323.9,Bank Transfer,Pending
D700076,U139338,2026-03-23,1257.45,Card,Completed
D700077,U126469,2026-04-04,1344.24,Bank Transfer,Completed
D700078,U123197,2025-03-15,64.65,Card,Completed
D700079,U134747,2026-02-18,199.25,Bank Transfer,Completed
D700080,U137126,2026-07-28,130.49,Bank Transfer,Completed
