user_id,kyc_started_date,kyc_completed_date,kyc_status,rejection_reason
U100000,2025-04-13,2025-04-19,Completed,
U100001,2026-03-15,,Rejected,Expired document
U100002,2025-10-01,2025-10-05,Completed,
U100003,2025-04-19,2025-04-25,Completed,
U100004,2025-03-15,2025-03-21,Completed,
U100005,2025-01-21,2025-01-24,Completed,
U100006,2025-05-06,2025-05-12,Completed,
U100007,2026-04-14,2026-04-21,Completed,
U100008,2025-08-05,2025-08-12,Completed,
U100009,2025-12-01,2025-12-03,Completed,
U100010,2026-04-05,2026-04-12,Completed,
U100011,2025-03-29,2025-04-01,Completed,
U100012,2026-01-09,2026-01-16,Completed,
U100013,2025-04-10,2025-04-14,Completed,
U100014,2025-05-14,2025-05-21,Completed,
U100015,2025-11-05,2025-11-09,Completed,
U100016,2025-12-14,2025-12-17,Completed,
U100017,2026-05-09,2026-05-14,Completed,
U100018,2026-02-18,2026-02-23,Completed,
U100019,2026-01-22,2026-01-25,Completed,
U100020,2025-07-12,,Pending,
U100021,2025-10-04,,Rejected,Name mismatch
U100022,2025-06-12,2025-06-13,Completed,
U100023,2026-04-07,2026-04-14,Completed,
U100024,2025-11-11,2025-11-12,Completed,
U100025,2025-01-23,2025-01-30,Completed,
U100026,2025-09-13,,Pending,
U100027,2026-07-17,2026-07-24,Completed,
U100028,2026-04-20,2026-04-25,Completed,
U100029,2025-03-02,2025-03-04,Completed,
U100030,2026-05-29,2026-06-03,Completed,
U100031,2026-04-25,,Pending,
U100032,2025-07-11,2025-07-16,Completed,
U100033,2026-07-19,2026-07-19,Completed,
U100034,2026-07-22,2026-07-26,Completed,
U100035,2025-09-04,2025-09-09,Completed,
U100036,2026-05-20,2026-05-20,Completed,
U100037,2025-05-12,2025-05-16,Completed,
U100038,2026-05-04,2026-05-06,Completed,
U100039,2025-01-24,2025-01-31,Completed,
U100040,2025-06-20,,Rejected,Address verification
U100041,2025-10-03,2025-10-09,Completed,
U100042,2026-01-23,,Rejected,Expired document
U100043,2026-08-25,2026-08-26,Completed,
U100044,2025-11-15,2025-11-22,Completed,
U100045,2025-01-17,2025-01-18,Completed,
U100046,2025-09-02,2025-09-05,Completed,
U100047,2025-12-12,2025-12-13,Completed,
U100048,2026-07-20,2026-07-27,Completed,
U100049,2025-12-09,2025-12-13,Completed,
U100050,2025-04-02,2025-04-09,Completed,
U100051,2026-01-02,2026-01-04,Completed,
U100052,2026-04-01,2026-04-06,Completed,
U100053,2026-03-06,2026-03-13,Completed,
U100054,2026-05-26,2026-05-27,Completed,
U100055,2025-02-06,2025-02-13,Completed,
U100056,2025-07-25,,Rejected,Name mismatch
U100057,2025-03-25,2025-03-29,Completed,
U100058,2026-07-18,,Rejected,Document quality
U100059,2026-01-26,,Pending,
U100060,2025-01-05,2025-01-05,Completed,
U100061,2026-01-26,2026-01-31,Completed,
U100062,2026-07-21,2026-07-21,Completed,
U100063,2025-04-18,2025-04-24,Completed,
U100064,2026-04-23,2026-04-29,Completed,
U100065,2026-02-06,2026-02-10,Completed,
U100066,2026-07-10,2026-07-12,Completed,
U100067,2025-06-11,,Rejected,Address verification
U100068,2025-07-22,,Rejected,Expired document
U100069,2025-09-28,2025-10-05,Completed,
U100070,2025-10-01,2025-10-04,Completed,
U100071,2026-04-02,2026-04-05,Completed,
U100072,2026-04-11,2026-04-18,Completed,
U100073,2025-09-13,2025-09-17,Completed,
U100074,2025-10-24,2025-10-24,Completed,
U100075,2025-12-05,2025-12-05,Completed,
U100076,2025-02-25,,Rejected,Document quality
U100077,2025-08-08,2025-08-13,Completed,
U100078,2025-07-07,2025-07-08,Completed,
U100079,2026-01-19,2026-01-22,Completed,
U100080,2026-05-12,2026-05-14,Completed,
U100081,2025-02-11,2025-02-16,Completed,
U100082,2025-06-10,,Rejected,Expired document
U100083,2025-01-16,2025-01-20,Completed,
U100084,2025-03-09,2025-03-16,Completed,
U100085,2026-06-07,2026-06-07,Completed,
U100086,2025-12-11,2025-12-18,Completed,
U100087,2025-05-11,2025-05-17,Completed,
U100088,2026-04-18,2026-04-21,Completed,
U100089,2025-03-05,,Pending,
U100090,2025-05-23,2025-05-30,Completed,
U100091,2026-05-18,2026-05-23,Completed,
U100092,2026-08-16,,Pending,
U100093,2026-01-28,2026-01-29,Completed,
U100094,2026-02-23,2026-02-28,Completed,
U100095,2025-10-19,2025-10-20,Completed,
U100096,2026-01-18,2026-01-19,Completed,
U100097,2026-05-09,2026-05-16,Completed,
U100098,2025-08-20,2025-08-26,Completed,
U100099,2025-02-11,2025-02-17,Completed,
U100100,2025-01-29,,Pending,
U100101,2025-05-16,2025-05-17,Completed,
U100102,2025-07-23,2025-07-24,Completed,
U100103,2025-02-04,2025-02-09,Completed,
U100104,2025-02-19,2025-02-25,Completed,
U100105,2026-05-19,2026-05-20,Completed,
U100106,2026-02-13,,Pending,
U100107,2026-07-31,2026-07-31,Completed,
U100108,2025-04-13,2025-04-15,Completed,
U100109,2026-07-01,2026-07-08,Completed,
U100110,2026-04-09,,Rejected,Document quality
U100111,2025-01-07,,Rejected,Address verification
U100112,2025-08-07,2025-08-09,Completed,
U100113,2026-05-19,,Pending,
U100114,2026-02-04,2026-02-05,Completed,
U100115,2026-01-30,2026-01-31,Completed,
U100116,2025-07-26,2025-08-01,Completed,
U100117,2025-01-19,2025-01-19,Completed,
U100118,2026-07-08,2026-07-14,Completed,
U100119,2026-04-09,2026-04-16,Completed,
U100120,2026-07-31,2026-08-06,Completed,
U100121,2025-09-02,,Rejected,Address verification
U100122,2026-07-20,2026-07-23,Completed,
U100123,2025-04-09,2025-04-14,Completed,
U100124,2026-05-02,2026-05-06,Completed,
U100125,2026-02-12,2026-02-17,Completed,
U100126,2025-08-19,2025-08-26,Completed,
U100127,2025-06-21,2025-06-26,Completed,
U100128,2026-06-27,2026-07-04,Completed,
U100129,2025-02-05,2025-02-09,Completed,
U100130,2026-06-09,2026-06-12,Completed,
U100131,2025-06-10,2025-06-15,Completed,
U100132,2025-08-31,2025-09-06,Completed,
U100133,2025-03-31,2025-04-06,Completed,
U100134,2026-08-05,2026-08-09,Completed,
U100135,2026-07-12,2026-07-12,Completed,
U100136,2026-07-31,2026-08-04,Completed,
U100137,2025-01-31,2025-02-06,Completed,
U100138,2026-07-11,2026-07-11,Completed,
U100139,2025-12-08,2025-12-11,Completed,
U100140,2025-12-01,2025-12-07,Completed,
U100141,2026-05-21,2026-05-25,Completed,
U100142,2025-12-17,2025-12-19,Completed,
U100143,2026-04-21,2026-04-28,Completed,
U100144,2025-08-21,2025-08-27,Completed,
U100145,2025-07-09,2025-07-11,Completed,
U100146,2025-08-15,2025-08-15,Completed,
U100147,2026-01-22,,Pending,
U100148,2026-01-12,2026-01-13,Completed,
U100149,2025-10-10,2025-10-16,Completed,
U100150,2025-09-18,,Rejected,Name mismatch
U100151,2025-12-25,2026-01-01,Completed,
U100152,2026-04-01,2026-04-07,Completed,
U100153,2026-02-16,2026-02-21,Completed,
U100154,2025-11-18,2025-11-23,Completed,
U100155,2025-08-14,2025-08-20,Completed,
U100156,2025-08-23,,Pending,
U100157,2026-01-09,2026-01-13,Completed,
U100158,2026-09-02,2026-09-09,Completed,
U100159,2026-04-17,,Pending,
U100160,2025-08-24,2025-08-29,Completed,
U100161,2025-04-24,2025-04-28,Completed,
U100162,2026-05-12,2026-05-19,Completed,
U100163,2026-03-22,2026-03-27,Completed,
U100164,2026-07-19,2026-07-23,Completed,
U100165,2025-09-28,2025-09-29,Completed,
U100166,2026-05-29,2026-06-02,Completed,
U100167,2026-01-25,2026-01-30,Completed,
U100168,2026-01-24,2026-01-25,Completed,
