user_id,channel,campaign,signup_date,acquisition_cost_eur
U100000,Paid Search,Summer_Campaign,2025-04-13,18.87
U100001,Organic,Brand,2026-03-12,0.0
U100002,Paid Search,Brand,2025-09-28,14.4
U100003,Social,European_Market,2025-04-17,9.57
U100004,Paid Search,Brand,2025-03-13,18.58
U100005,Paid Search,Crypto_Beginners,2025-01-21,13.03
U100006,Organic,Referral_2025,2025-05-02,0.0
U100007,Social,Crypto_Beginners,2026-04-12,12.42
U100008,Social,Summer_Campaign,2025-08-03,10.0
U100009,Referral,Mobile_App,2025-11-27,13.24
U100010,Referral,Referral_2025,2026-04-04,11.04
U100011,Paid Search,Retargeting,2025-03-29,17.81
U100012,Paid Search,Mobile_App,2026-01-08,21.71
U100013,Referral,Crypto_Beginners,2025-04-10,11.11
U100014,Referral,Summer_Campaign,2025-05-11,11.97
U100015,Referral,Brand,2025-11-05,9.41
U100016,Organic,Crypto_Beginners,2025-12-10,0.0
U100017,Paid Search,Mobile_App,2026-05-07,12.0
U100018,Social,Referral_2025,2026-02-18,15.34
U100019,Organic,Mobile_App,2026-01-21,0.0
U100020,Social,Trading_101,2025-07-11,10.71
U100021,Paid Search,Trading_101,2025-10-04,13.14
U100022,Direct,Retargeting,2025-06-10,0.0
U100023,Referral,Trading_101,2026-04-05,10.53
U100024,Organic,Trading_101,2025-11-10,0.0
U100025,Paid Search,Retargeting,2025-01-22,20.01
U100026,Paid Search,Trading_101,2025-09-10,20.13
U100027,Paid Search,Trading_101,2026-07-15,22.78
U100028,Organic,Crypto_Beginners,2026-04-20,0.0
U100029,Affiliate,Mobile_App,2025-02-28,30.59
U100030,Referral,Referral_2025,2026-05-26,5.82
U100031,Social,Trading_101,2026-04-21,19.39
U100032,Referral,Trading_101,2025-07-09,7.16
U100033,Referral,Referral_2025,2026-07-17,9.19
U100034,Affiliate,Referral_2025,2026-07-21,17.93
U100035,Affiliate,European_Market,2025-09-01,14.34
U100036,Direct,Brand,2026-05-20,0.0
U100037,Organic,European_Market,2025-05-11,0.0
U100038,Paid Search,Crypto_Beginners,2026-04-30,19.13
U100039,Referral,Summer_Campaign,2025-01-21,9.61
U100040,Social,Brand,2025-06-16,13.25
U100041,Direct,European_Market,2025-10-01,0.0
U100042,Email,Crypto_Beginners,2026-01-23,5.0
U100043,Email,Referral_2025,2026-08-24,5.77
U100044,Organic,Brand,2025-11-12,0.0
U100045,Organic,European_Market,2025-01-14,0.0
U100046,Referral,Crypto_Beginners,2025-08-30,5.85
U100047,Direct,Retargeting,2025-12-12,0.0
U100048,Paid Search,Summer_Campaign,2026-07-19,15.99
U100049,Direct,Retargeting,2025-12-06,0.0
U100050,Direct,Retargeting,2025-04-02,0.0
U100051,Social,Summer_Campaign,2026-01-02,11.84
U100052,Affiliate,European_Market,2026-03-31,24.47
U100053,Organic,Retargeting,2026-03-04,0.0
U100054,Referral,Referral_2025,2026-05-24,13.0
U100055,Affiliate,Retargeting,2025-02-04,23.33
U100056,Paid Search,Mobile_App,2025-07-25,13.92
U100057,Social,Retargeting,2025-03-22,22.02
U100058,Affiliate,Referral_2025,2026-07-16,23.72
U100059,Organic,Summer_Campaign,2026-01-23,0.0
U100060,Organic,Summer_Campaign,2025-01-02,0.0
U100061,Organic,Brand,2026-01-25,0.0
U100062,Paid Search,Mobile_App,2026-07-20,16.43
U100063,Social,Summer_Campaign,2025-04-16,13.07
U100064,Direct,European_Market,2026-04-22,0.0
U100065,Social,Brand,2026-02-06,14.09
U100066,Paid Search,Retargeting,2026-07-10,13.17
U100067,Referral,Summer_Campaign,2025-06-11,14.99
U100068,Organic,European_Market,2025-07-21,0.0
U100069,Email,Retargeting,2025-09-27,3.43
U100070,Paid Search,Summer_Campaign,2025-09-28,18.12
U100071,Organic,Referral_2025,2026-04-01,0.0
U100072,Social,European_Market,2026-04-07,8.67
U100073,Social,Summer_Campaign,2025-09-09,15.66
U100074,Paid Search,Referral_2025,2025-10-23,19.84
U100075,Affiliate,Crypto_Beginners,2025-12-04,19.91
U100076,Organic,Mobile_App,2025-02-22,0.0
U100077,Direct,Mobile_App,2025-08-05,0.0
U100078,Email,European_Market,2025-07-07,4.36
U100079,Referral,Retargeting,2026-01-15,14.69
U100080,Organic,Retargeting,2026-05-08,0.0
U100081,Referral,Crypto_Beginners,2025-02-10,7.28
U100082,Referral,European_Market,2025-06-06,10.46
U100083,Paid Search,European_Market,2025-01-15,15.49
U100084,Social,Crypto_Beginners,2025-03-06,19.43
U100085,Organic,Crypto_Beginners,2026-06-05,0.0
U100086,Paid Search,Trading_101,2025-12-10,15.3
U100087,Paid Search,European_Market,2025-05-09,14.1
U100088,Organic,European_Market,2026-04-17,0.0
U100089,Paid Search,European_Market,2025-03-04,14.06
U100090,Referral,Summer_Campaign,2025-05-19,10.6
U100091,Affiliate,Summer_Campaign,2026-05-14,26.42
U100092,Direct,Mobile_App,2026-08-16,0.0
U100093,Paid Search,Trading_101,2026-01-27,22.01
U100094,Organic,Crypto_Beginners,2026-02-23,0.0
U100095,Social,Mobile_App,2025-10-16,20.51
U100096,Direct,Trading_101,2026-01-14,0.0
U100097,Referral,Trading_101,2026-05-05,9.86
U100098,Direct,Summer_Campaign,2025-08-19,0.0
U100099,Referral,Crypto_Beginners,2025-02-10,7.31
U100100,Social,Trading_101,2025-01-28,16.47
U100101,Organic,European_Market,2025-05-15,0.0
U100102,Organic,Mobile_App,2025-07-20,0.0
U100103,Affiliate,Trading_101,2025-02-02,36.01
U100104,Paid Search,Summer_Campaign,2025-02-17,16.63
U100105,Paid Search,Summer_Campaign,2026-05-18,17.25
U100106,Social,Referral_2025,2026-02-11,10.52
U100107,Direct,Summer_Campaign,2026-07-28,0.0
U100108,Paid Search,Retargeting,2025-04-09,16.82
U100109,Organic,Brand,2026-07-01,0.0
U100110,Email,Referral_2025,2026-04-07,3.85
U100111,Email,Crypto_Beginners,2025-01-05,5.18
U100112,Organic,Retargeting,2025-08-06,0.0
U100113,Referral,Summer_Campaign,2026-05-18,13.63
U100114,Paid Search,Retargeting,2026-02-02,22.89
U100115,Email,Referral_2025,2026-01-28,4.31
U100116,Referral,Trading_101,2025-07-26,10.35
U100117,Organic,Referral_2025,2025-01-15,0.0
U100118,Social,Trading_101,2026-07-08,6.39
U100119,Organic,Summer_Campaign,2026-04-06,0.0
U100120,Paid Search,European_Market,2026-07-29,13.29
U100121,Social,Brand,2025-08-29,17.76
U100122,Paid Search,Summer_Campaign,2026-07-18,16.78
U100123,Social,Referral_2025,2025-04-06,17.62
U100124,Referral,Referral_2025,2026-04-30,10.47
