session_id,user_id,session_date,session_duration_sec,screens_viewed,device_type,app_version
S500000,U124147,2025-03-29,267.0,8,iOS,5.4.0
S500001,U144753,2025-09-10,229.0,8,Android,5.4.1
S500002,U112393,2026-02-22,440.0,7,Web,5.3.0
S500003,U118729,2026-04-25,388.0,5,Android,5.4.0
S500004,U106824,2025-07-13,349.0,6,Android,5.2.0
S500005,U141808,2025-09-26,234.0,4,Android,5.4.1
S500006,U103937,2025-09-11,201.0,12,Web,5.4.0
S500007,U108612,2026-03-09,595.0,6,iOS,5.4.1
S500008,U102396,2026-03-15,183.0,10,Android,5.4.1
S500009,U117577,2026-05-27,473.0,5,Android,5.2.0
S500010,U115219,2025-11-11,193.0,6,iOS,5.4.0
S500011,U147913,2025-04-30,360.0,7,Web,5.3.0
S500012,U107664,2026-02-17,221.0,4,iOS,5.4.0
S500013,U106898,2026-04-29,414.0,9,Android,5.4.0
S500014,U133633,2026-08-03,347.0,8,iOS,5.4.0
S500015,U124353,2026-06-14,499.0,7,iOS,5.2.0
S500016,U103993,2026-08-09,152.0,7,iOS,5.2.0
S500017,U127333,2025-08-29,253.0,4,Android,5.4.0
S500018,U103187,2025-07-10,1092.0,7,Web,5.2.0
S500019,U117908,2026-02-27,130.0,6,Android,5.4.0
S500020,U114192,2025-12-19,542.0,8,iOS,5.4.1
S500021,U111652,2026-08-12,90.0,5,iOS,5.2.0
S500022,U123096,2026-02-03,394.0,10,Android,5.4.1
S500023,U109886,2025-08-19,93.0,12,iOS,5.4.0
S500024,U101553,2026-01-09,108.0,7,Android,5.3.0
S500025,U104141,2026-07-11,417.0,5,Web,5.4.1
S500026,U114136,2025-09-28,332.0,8,iOS,5.3.0
S500027,U145674,2026-08-08,282.0,6,Android,5.4.0
S500028,U128629,2025-07-19,105.0,9,Web,5.2.0
S500029,U104191,2026-07-17,311.0,4,Android,5.4.1
S500030,U124012,2025-08-07,216.0,11,Web,5.4.0
S500031,U132976,2026-05-10,500.0,4,Android,5.4.0
S500032,U142318,2026-04-18,253.0,10,Android,5.2.0
S500033,U149603,2025-12-03,150.0,5,Android,5.4.0
S500034,U138572,2026-06-10,317.0,7,iOS,5.4.0
S500035,U148882,2025-11-06,530.0,8,Android,5.4.1
S500036,U101246,2025-11-06,693.0,8,Android,5.1.0
S500037,U106418,2025-05-31,298.0,7,iOS,5.3.0
S500038,U119848,2025-07-29,193.0,7,Android,5.3.0
S500039,U111525,2026-04-28,111.0,8,iOS,5.4.1
S500040,U137354,2025-10-29,338.0,8,Android,5.2.0
S500041,U134002,2025-07-18,258.0,6,Web,5.4.1
S500042,U143754,2025-05-29,1164.0,9,iOS,5.4.0
S500043,U121453,2025-06-09,631.0,7,Android,5.3.0
S500044,U125255,2026-05-23,322.0,9,Android,5.1.0
S500045,U114533,2025-03-26,752.0,5,iOS,5.4.0
S500046,U145183,2025-09-20,627.0,8,Android,5.2.0
S500047,U127801,2026-04-02,284.0,3,iOS,5.4.1
S500048,U130664,2026-01-30,430.0,12,Web,5.4.0
S500049,U122860,2025-10-25,885.0,10,Web,5.4.1
S500050,U128378,2026-03-11,246.0,9,iOS,5.4.1
S500051,U131239,2025-11-11,385.0,7,Web,5.4.0
S500052,U108292,2025-12-02,230.0,5,Web,5.1.0
S500053,U108171,2025-10-23,378.0,11,iOS,5.1.0
S500054,U127804,2026-08-26,252.0,5,Android,5.4.0
S500055,U146345,2026-08-28,659.0,10,iOS,5.4.1
S500056,U109615,2026-03-07,239.0,10,Android,5.1.0
S500057,U142749,2026-01-31,762.0,8,Android,5.4.1
S500058,U127786,2025-10-25,230.0,5,Web,5.2.0
S500059,U105346,2026-01-28,336.0,7,Android,5.2.0
S500060,U101055,2025-06-21,315.0,5,iOS,5.1.0
S500061,U139069,2026-04-24,82.0,7,Android,5.4.1
S500062,U119674,2026-01-25,244.0,12,Android,5.2.0
S500063,U113653,2026-04-11,328.0,6,Android,5.1.0
S500064,U103714,2026-08-04,375.0,6,iOS,5.2.0
S500065,U104699,2025-06-26,453.0,10,iOS,5.4.1
S500066,U134575,2026-08-10,416.0,7,iOS,5.4.0
S500067,U101515,2026-05-21,142.0,11,Android,5.1.0
S500068,U117878,2025-09-28,559.0,11,Web,5.3.0
S500069,U103244,2026-05-08,310.0,9,Android,5.4.0
S500070,U143808,2026-07-25,159.0,6,iOS,5.4.1
S500071,U127161,2026-02-01,112.0,8,Android,5.3.0
S500072,U146797,2026-03-19,344.0,5,iOS,5.2.0
S500073,U144471,2026-01-08,105.0,6,Android,5.4.0
S500074,U122917,2026-08-04,237.0,8,iOS,5.4.0
S500075,U128858,2026-01-15,434.0,8,Android,5.4.0
S500076,U111034,2026-01-15,143.0,4,iOS,5.1.0
S500077,U115354,2025-07-12,339.0,5,Web,5.4.0
S500078,U144478,2026-05-03,205.0,5,iOS,5.4.1
S500079,U128915,2025-05-01,518.0,8,Web,5.2.0
S500080,U121962,2025-12-07,473.0,8,Android,5.4.0
S500081,U122552,2025-06-19,264.0,4,Android,5.4.0
S500082,U147373,2025-04-25,148.0,7,Android,5.1.0
S500083,U131176,2026-01-01,74.0,7,iOS,5.4.0
S500084,U113271,2026-06-14,171.0,10,Android,5.3.0
S500085,U114771,2026-02-07,505.0,3,iOS,5.4.0
S500086,U119778,2025-11-03,378.0,8,Android,5.3.0
S500087,U102976,2025-12-27,286.0,10,Android,5.4.0
S500088,U147261,2026-05-05,293.0,4,Android,5.4.0
S500089,U126533,2026-04-27,359.0,9,iOS,5.2.0
S500090,U129343,2026-02-24,261.0,10,Android,5.2.0
S500091,U107493,2025-11-17,590.0,6,Android,5.4.1
S500092,U138878,2025-12-27,233.0,9,Web,5.4.0
S500093,U105118,2026-02-22,790.0,4,iOS,5.4.1
S500094,U135168,2026-01-23,387.0,7,iOS,5.2.0
S500095,U103751,2026-02-12,379.0,5,Android,5.2.0
S500096,U147304,2026-06-21,654.0,4,Web,5.2.0
S500097,U104855,2025-12-02,181.0,7,iOS,5.4.1
S500098,U108542,2026-03-11,606.0,6,Android,5.4.1
S500099,U120624,2026-04-27,214.0,7,iOS,5.2.0
S500100,U123319,2025-07-15,82.0,7,Web,5.4.0
S500101,U135115,2025-09-08,186.0,4,iOS,5.3.0
S500102,U133434,2025-10-13,243.0,7,Android,5.4.0
S500103,U137576,2025-04-06,299.0,8,Web,5.4.0
S500104,U117191,2025-06-16,558.0,11,Android,5.4.1
S500105,U120775,2025-11-25,317.0,3,iOS,5.3.0
S500106,U100679,2025-11-08,301.0,8,Web,5.1.0
S500107,U114077,2025-11-27,2026.0,9,iOS,5.1.0
S500108,U131799,2026-03-29,103.0,6,Android,5.4.1
S500109,U147835,2026-02-23,267.0,8,Web,5.4.0
S500110,U148973,2026-05-16,357.0,10,iOS,5.4.1
S500111,U127272,2026-08-22,302.0,7,iOS,5.2.0
S500112,U145150,2026-01-03,265.0,7,iOS,5.4.1
S500113,U103735,2026-02-17,235.0,7,Android,5.4.0
S500114,U132883,2025-12-26,214.0,7,iOS,5.4.0
S500115,U105548,2026-05-08,242.0,6,iOS,5.3.0
S500116,U137871,2025-11-01,168.0,3,Android,5.2.0
S500117,U119935,2026-07-06,434.0,6,iOS,5.1.0
S500118,U130673,2026-03-07,262.0,8,iOS,5.3.0
S500119,U140985,2026-01-19,390.0,4,Web,5.3.0
S500120,U104799,2025-05-29,555.0,10,iOS,5.3.0
S500121,U148381,2026-06-19,236.0,13,iOS,5.3.0
S500122,U101711,2025-03-11,447.0,8,iOS,5.4.1
S500123,U140812,2026-05-10,504.0,10,iOS,5.4.0
S500124,U112424,2025-10-03,641.0,5,iOS,5.4.1
S500125,U107155,2026-06-17,387.0,7,iOS,5.2.0
S500126,U112842,2026-06-15,323.0,5,iOS,5.2.0
S500127,U125462,2025-09-11,1189.0,5,Web,5.3.0
S500128,U149489,2026-02-13,360.0,6,iOS,5.3.0
S500129,U126948,2025-11-05,158.0,6,iOS,5.3.0
S500130,U106325,2026-01-14,273.0,12,iOS,5.3.0
S500131,U148636,2026-02-10,287.0,6,iOS,5.4.0
S500132,U121827,2026-04-17,593.0,8,Android,5.4.1
S500133,U122865,2025-07-04,1298.0,5,Web,5.1.0
S500134,U131480,2026-03-09,203.0,9,iOS,5.1.0
S500135,U149658,2025-03-31,399.0,10,Web,5.1.0
S500136,U142840,2026-02-16,380.0,9,iOS,5.2.0
S500137,U102390,2026-08-11,377.0,8,iOS,5.4.0
S500138,U137504,2026-08-03,161.0,5,Android,5.1.0
S500139,U131150,2025-12-01,272.0,8,iOS,5.4.1
S500140,U133573,2026-08-10,354.0,8,iOS,5.1.0
S500141,U116727,2026-07-10,131.0,7,iOS,5.4.0
S500142,U124361,2026-03-01,683.0,8,Android,5.1.0
S500143,U119513,2026-05-22,119.0,8,iOS,5.3.0
S500144,U102498,2026-01-02,672.0,6,Android,5.3.0
S500145,U129275,2025-09-01,208.0,9,iOS,5.4.0
S500146,U119558,2025-08-28,76.0,7,Web,5.4.1
S500147,U113683,2026-05-30,114.0,15,Android,5.2.0
S500148,U121997,2025-03-30,245.0,9,Android,5.3.0
S500149,U103504,2025-04-11,386.0,8,Web,5.4.1
S500150,U133557,2026-08-29,1152.0,8,Android,5.1.0
S500151,U112675,2026-04-08,313.0,4,Android,5.4.0
S500152,U110333,2025-09-22,331.0,5,Android,5.3.0
S500153,U112654,2026-01-26,1197.0,4,iOS,5.4.0
S500154,U100215,2026-04-22,704.0,5,Android,5.2.0
S500155,U114094,2026-04-23,172.0,6,iOS,5.4.0
S500156,U125337,2025-10-04,1045.0,11,Android,5.4.0
S500157,U145088,2026-01-18,93.0,7,iOS,5.2.0
S500158,U106548,2026-01-21,103.0,8,Android,5.4.1
S500159,U112519,2026-07-08,364.0,7,iOS,5.2.0
S500160,U141850,2025-06-28,423.0,6,iOS,5.4.1
S500161,U123589,2025-08-12,800.0,6,Android,5.4.0
S500162,U149802,2026-08-11,113.0,11,Web,5.2.0
S500163,U103365,2026-01-06,273.0,9,iOS,5.4.0
S500164,U124316,2026-07-31,1511.0,5,iOS,5.4.0
S500165,U112235,2025-12-10,1406.0,2,Web,5.1.0
S500166,U124098,2025-08-11,364.0,9,Web,5.4.0
S500167,U113767,2025-10-16,326.0,8,iOS,5.2.0
S500168,U121718,2026-01-22,334.0,3,Android,5.3.0
S500169,U126557,2026-08-18,257.0,6,Android,5.2.0
S500170,U120745,2026-03-11,377.0,7,Android,5.3.0
S500171,U139196,2026-05-22,160.0,8,Web,5.4.0
S500172,U132673,2026-06-27,95.0,9,iOS,5.2.0
S500173,U111407,2025-09-03,293.0,4,Android,5.4.0
S500174,U112223,2025-11-10,834.0,8,iOS,5.3.0
S500175,U101845,2026-01-07,455.0,6,Android,5.4.1
S500176,U140963,2025-11-10,601.0,8,Web,5.4.1
S500177,U107236,2025-11-13,108.0,3,iOS,5.4.1
S500178,U140754,2026-07-15,265.0,4,Android,5.4.0
S500179,U121684,2025-10-19,616.0,5,iOS,5.3.0
S500180,U143698,2026-07-03,108.0,6,Web,5.1.0
S500181,U101134,2026-03-02,344.0,5,Android,5.4.0
S500182,U105245,2025-07-28,259.0,10,iOS,5.4.0
S500183,U101179,2026-01-24,151.0,5,Web,5.2.0
S500184,U100452,2026-04-24,677.0,6,Web,5.4.1
S500185,U136570,2025-11-04,137.0,2,iOS,5.4.0
S500186,U135789,2025-09-11,508.0,6,Android,5.4.0
S500187,U101068,2026-05-03,494.0,8,Android,5.4.1
S500188,U124652,2026-06-27,1151.0,5,Web,5.4.0
S500189,U130814,2026-02-23,242.0,5,Android,5.2.0
S500190,U102628,2026-07-23,92.0,7,iOS,5.2.0
S500191,U103599,2025-09-27,672.0,7,Android,5.3.0
S500192,U134712,2026-04-14,177.0,10,iOS,5.2.0
S500193,U138851,2026-01-30,635.0,6,Android,5.4.0
S500194,U145411,2026-06-11,220.0,8,iOS,5.2.0
S500195,U119032,2025-07-06,306.0,5,Android,5.4.0
S500196,U123179,2025-11-18,111.0,12,iOS,5.4.0
S500197,U103728,2025-10-20,324.0,6,Web,5.3.0
S500198,U132311,2026-02-23,515.0,3,iOS,5.4.1
S500199,U146876,2025-06-18,506.0,9,iOS,5.3.0
S500200,U100530,2026-07-31,301.0,6,Web,5.4.1
S500201,U115768,2026-02-19,1677.0,13,Web,5.1.0
S500202,U109693,2026-02-04,469.0,4,Web,5.2.0
S500203,U145948,2026-02-22,441.0,5,iOS,5.2.0
S500204,U111886,2025-10-15,114.0,6,Android,5.4.0
S500205,U105295,2025-06-17,554.0,9,Android,5.1.0
S500206,U128247,2025-12-26,565.0,9,iOS,5.2.0
S500207,U122192,2026-05-02,265.0,8,iOS,5.2.0
S500208,U129610,2026-08-14,325.0,7,iOS,5.4.1
S500209,U139136,2025-08-04,197.0,9,Android,5.1.0
S500210,U130999,2026-01-29,199.0,5,Android,5.4.1
S500211,U105047,2025-08-08,178.0,8,iOS,5.1.0
S500212,U140278,2025-09-21,229.0,10,Web,5.3.0
S500213,U149384,2025-05-03,162.0,9,iOS,5.2.0
S500214,U140595,2025-12-03,376.0,7,iOS,5.4.0
S500215,U116977,2026-03-08,145.0,10,Android,5.3.0
S500216,U122609,2026-07-29,152.0,3,iOS,5.2.0
S500217,U139446,2025-12-26,133.0,5,Android,5.3.0
S500218,U137416,2026-03-14,144.0,5,Android,5.2.0
S500219,U118140,2026-04-05,725.0,9,iOS,5.3.0
S500220,U137807,2025-06-24,94.0,7,Android,5.2.0
S500221,U121473,2026-04-12,299.0,5,Android,5.1.0
S500222,U111071,2026-02-12,302.0,11,Android,5.3.0
S500223,U126130,2025-07-12,584.0,7,iOS,5.1.0
S500224,U118711,2026-03-15,53.0,5,iOS,5.3.0
S500225,U121356,2026-04-27,430.0,4,Web,5.3.0
S500226,U119617,2025-11-03,203.0,7,iOS,5.4.0
S500227,U125898,2026-02-12,282.0,7,Android,5.4.1
S500228,U141118,2026-01-25,229.0,5,iOS,5.3.0
S500229,U144882,2026-08-26,182.0,7,Web,5.1.0
S500230,U106105,2026-03-17,210.0,5,Android,5.2.0
S500231,U132735,2026-02-24,264.0,7,iOS,5.1.0
S500232,U133729,2025-11-02,111.0,6,Web,5.4.0
S500233,U129416,2026-01-28,378.0,16,Android,5.3.0
S500234,U148649,2026-01-24,270.0,5,Android,5.3.0
S500235,U116395,2026-08-30,317.0,8,iOS,5.4.0
S500236,U141968,2026-04-14,381.0,6,Android,5.3.0
S500237,U149250,2025-05-03,138.0,8,Android,5.4.0
S500238,U136649,2026-08-08,369.0,9,Android,5.3.0
S500239,U116930,2025-12-24,616.0,6,Web,5.2.0
S500240,U106331,2026-02-01,,15,Web,5.2.0
