transaction_id,user_id,transaction_date,transaction_type,asset,amount_eur,status
T900000,U126880,2026-01-12,Swap,ADA,77.18,Failed
T900001,U117680,2025-10-27,Sell,ETH,26.3,Completed
T900002,U142096,2026-05-21,Swap,USDC,198.27,Completed
T900003,U146376,2025-06-25,Swap,ETH,389.04,Completed
T900004,U114160,2026-01-25,Swap,SOL,900.32,Completed
T900005,U118300,2025-09-12,Sell,BORG,588.87,Completed
T900006,U121118,2026-05-20,Buy,BORG,413.74,Completed
T900007,U106886,2026-07-28,Swap,BTC,181.9,Completed
T900008,U140672,2026-04-03,Swap,USDC,135.91,Completed
T900009,U145522,2025-05-05,Swap,SOL,207.97,Completed
T900010,U132325,2026-06-11,Buy,XRP,125.73,Completed
T900011,U130093,2025-11-20,Buy,USDC,505.9,Completed
T900012,U141781,2026-01-02,Buy,SOL,567.88,Completed
T900013,U124383,2025-02-02,Sell,BTC,170.95,Pending
T900014,U122892,2026-06-09,Swap,BTC,311.66,Completed
T900015,U149116,2025-12-03,Buy,USDC,520.57,Completed
T900016,U104095,2025-08-30,Sell,ETH,245.98,Completed
T900017,U107070,2025-07-18,Swap,DOT,195.93,Completed
T900018,U104191,2025-12-14,Buy,SOL,630.5,Completed
T900019,U149819,2026-01-31,Swap,DOT,441.9,Completed
T900020,U110355,2025-11-17,Swap,USDC,65.2,Completed
T900021,U115514,2025-08-19,Sell,ADA,170.49,Completed
T900022,U130070,2026-05-28,Buy,ADA,541.43,Completed
T900023,U107960,2026-05-30,Sell,ETH,104.5,Completed
T900024,U139789,2026-04-01,Sell,USDC,434.67,Completed
T900025,U110718,2025-02-12,Sell,BTC,38.88,Completed
T900026,U123648,2026-08-17,Sell,SOL,912.54,Completed
T900027,U129046,2025-03-28,Buy,DOT,103.98,Completed
T900028,U138741,2025-11-14,Buy,XRP,119.58,Completed
T900029,U125593,2025-11-02,Buy,ADA,201.55,Completed
T900030,U136793,2026-03-18,Buy,ADA,421.89,Completed
T900031,U147815,2026-02-23,Sell,DOT,334.48,Completed
T900032,U112075,2025-09-11,Buy,DOT,1396.68,Completed
T900033,U137078,2026-07-28,Buy,ADA,104.79,Completed
T900034,U113366,2026-02-26,Buy,XRP,131.61,Completed
T900035,U127875,2025-09-16,Buy,DOT,500.28,Completed
T900036,U147877,2026-01-19,Sell,USDC,144.44,Completed
T900037,U147705,2025-05-11,Buy,DOT,645.84,Pending
T900038,U147251,2025-08-06,Buy,ADA,4331.89,Completed
T900039,U149423,2025-02-04,Sell,BORG,110.9,Completed
T900040,U104138,2026-05-02,Swap,DOT,954.95,Completed
T900041,U117240,2025-10-08,Sell,USDC,336.47,Completed
T900042,U112758,2025-09-12,Swap,USDC,57.24,Pending
T900043,U143972,2026-02-18,Swap,BORG,166.02,Completed
T900044,U121756,2026-04-17,Sell,BORG,382.69,Completed
T900045,U124166,2025-09-30,Sell,USDC,1718.01,Completed
T900046,U111359,2026-07-29,Buy,ADA,636.55,Pending
T900047,U106196,2025-07-29,Buy,BORG,115.18,Completed
T900048,U106837,2025-10-02,Buy,XRP,447.51,Completed
T900049,U135366,2025-09-04,Sell,XRP,255.39,Completed
T900050,U137093,2025-07-22,Swap,XRP,486.52,Completed
T900051,U137516,2026-03-17,Sell,ETH,1020.46,Completed
T900052,U124268,2025-03-22,Sell,SOL,583.99,Completed
T900053,U144201,2026-01-16,Swap,XRP,15.27,Completed
T900054,U124729,2026-03-29,Buy,ADA,21.07,Completed
T900055,U114926,2026-08-07,Sell,SOL,49.55,Completed
T900056,U101074,2026-06-08,Swap,SOL,823.52,Completed
T900057,U145435,2025-09-14,Swap,BORG,89.96,Completed
T900058,U138636,2025-05-24,Swap,BORG,166.22,Completed
T900059,U113839,2026-04-08,Sell,USDC,107.52,Completed
T900060,U125937,2026-01-11,Buy,SOL,71.1,Completed
T900061,U118421,2026-02-20,Buy,BORG,296.87,Completed
T900062,U113983,2026-03-08,Buy,ADA,413.0,Completed
T900063,U130196,2026-06-11,Buy,XRP,265.77,Completed
T900064,U113191,2026-02-01,Buy,ETH,78.81,Completed
T900065,U140742,2026-01-09,Buy,ADA,35.83,Completed
T900066,U109757,2026-03-09,Swap,ETH,279.58,Completed
T900067,U107210,2026-05-11,Buy,ETH,20.18,Completed
T900068,U143663,2026-05-13,Buy,BTC,251.66,Completed
T900069,U140996,2026-03-31,Sell,DOT,498.56,Completed
T900070,U112150,2025-05-28,Buy,XRP,146.61,Completed
T900071,U114930,2026-06-25,Buy,ETH,221.66,Completed
T900072,U104774,2026-04-15,Swap,SOL,312.26,Completed
T900073,U147398,2026-05-12,Sell,DOT,360.5,Failed
T900074,U129232,2026-06-08,Buy,ETH,4958.09,Completed
T900075,U135212,2026-06-19,Buy,ADA,116.95,Completed
T900076,U148600,2026-07-16,Swap,DOT,542.45,Completed
T900077,U105128,2026-01-15,Swap,BORG,365.1,Completed
T900078,U109961,2026-07-02,Buy,BORG,1575.87,Completed
