user_id,signup_date,country,age_group,acquisition_channel,device_type,account_status
U100000,2025-04-13,India,35-44,Paid Search,Android,Active
U100001,2026-03-12,United Kingdom,35-44,Organic,Android,Active
U100002,2025-09-28,Belgium,45-54,Paid Search,Web,Active
U100003,2025-04-17,Sweden,25-34,Social,iOS,Active
U100004,2025-03-13,Netherlands,35-44,Paid Search,iOS,Active
U100005,2025-01-21,Sweden,18-24,Paid Search,iOS,Inactive
U100006,2025-05-02,Portugal,35-44,Organic,iOS,Inactive
U100007,2026-04-12,Belgium,25-34,Social,iOS,Active
U100008,2025-08-03,Netherlands,35-44,Social,iOS,Active
U100009,2025-11-27,Poland,25-34,Referral,iOS,Active
U100010,2026-04-04,Austria,55+,Referral,iOS,Inactive
U100011,2025-03-29,Netherlands,45-54,Paid Search,iOS,Active
U100012,2026-01-08,Netherlands,25-34,Paid Search,iOS,Active
U100013,2025-04-10,France,35-44,Referral,Android,Inactive
U100014,2025-05-11,Denmark,35-44,Referral,Web,Active
U100015,2025-11-05,Spain,55+,Referral,iOS,Active
U100016,2025-12-10,Netherlands,45-54,Organic,Android,Active
U100017,2026-05-07,Ireland,25-34,Paid Search,iOS,Active
U100018,2026-02-18,Spain,55+,Social,Android,Active
U100019,2026-01-21,Italy,25-34,Organic,iOS,Active
U100020,2025-07-11,India,35-44,Social,iOS,Active
U100021,2025-10-04,Netherlands,35-44,Paid Search,Android,Active
U100022,2025-06-10,Netherlands,25-34,Direct,Web,Active
U100023,2026-04-05,Portugal,55+,Referral,iOS,Active
U100024,2025-11-10,Portugal,25-34,Organic,iOS,Active
U100025,2025-01-22,Ireland,25-34,Paid Search,Android,Inactive
U100026,2025-09-10,Germany,25-34,Paid Search,Web,Active
U100027,2026-07-15,France,45-54,Paid Search,Android,Inactive
U100028,2026-04-20,United Kingdom,25-34,Organic,Web,Inactive
U100029,2025-02-28,Germany,18-24,Affiliate,iOS,Active
U100030,2026-05-26,Ireland,18-24,Referral,iOS,Active
U100031,2026-04-21,Austria,25-34,Social,Android,Inactive
U100032,2025-07-09,Portugal,35-44,Referral,iOS,Inactive
U100033,2026-07-17,Denmark,18-24,Referral,Android,Active
U100034,2026-07-21,Switzerland,18-24,Affiliate,iOS,Inactive
U100035,2025-09-01,Switzerland,18-24,Affiliate,iOS,Active
U100036,2026-05-20,Austria,35-44,Direct,Web,Inactive
U100037,2025-05-11,Portugal,25-34,Organic,Android,Active
U100038,2026-04-30,Sweden,35-44,Paid Search,iOS,Active
U100039,2025-01-21,Denmark,18-24,Referral,Android,Active
U100040,2025-06-16,Poland,45-54,Social,Android,Inactive
U100041,2025-10-01,Netherlands,25-34,Direct,Android,Active
U100042,2026-01-23,Portugal,45-54,Email,Web,Active
U100043,2026-08-24,France,45-54,Email,Android,Active
U100044,2025-11-12,Austria,55+,Organic,Android,Active
U100045,2025-01-14,India,35-44,Organic,iOS,Active
U100046,2025-08-30,Denmark,25-34,Referral,iOS,Active
U100047,2025-12-12,Sweden,25-34,Direct,Android,Active
U100048,2026-07-19,Spain,18-24,Paid Search,Web,Active
U100049,2025-12-06,Netherlands,45-54,Direct,Web,Inactive
U100050,2025-04-02,Sweden,25-34,Direct,Android,Inactive
U100051,2026-01-02,Austria,35-44,Social,Android,Active
U100052,2026-03-31,Belgium,35-44,Affiliate,iOS,Inactive
U100053,2026-03-04,Austria,45-54,Organic,Web,Active
U100054,2026-05-24,Denmark,35-44,Referral,Web,Active
U100055,2025-02-04,Denmark,18-24,Affiliate,iOS,Active
U100056,2025-07-25,India,45-54,Paid Search,Android,Active
U100057,2025-03-22,United Kingdom,25-34,Social,iOS,Active
U100058,2026-07-16,Germany,45-54,Affiliate,Android,Inactive
U100059,2026-01-23,Denmark,55+,Organic,iOS,Active
U100060,2025-01-02,Denmark,55+,Organic,Android,Active
U100061,2026-01-25,Spain,25-34,Organic,Android,Inactive
U100062,2026-07-20,Sweden,18-24,Paid Search,iOS,Inactive
U100063,2025-04-16,United Kingdom,45-54,Social,iOS,Active
U100064,2026-04-22,Sweden,35-44,Direct,iOS,Active
U100065,2026-02-06,United Kingdom,25-34,Social,Android,Inactive
U100066,2026-07-10,United Kingdom,35-44,Paid Search,iOS,Inactive
U100067,2025-06-11,Italy,18-24,Referral,Web,Active
U100068,2025-07-21,Poland,35-44,Organic,Android,Inactive
U100069,2025-09-27,Poland,45-54,Email,iOS,Active
U100070,2025-09-28,Sweden,35-44,Paid Search,iOS,Active
U100071,2026-04-01,Portugal,18-24,Organic,iOS,Inactive
U100072,2026-04-07,Austria,55+,Social,iOS,Inactive
U100073,2025-09-09,Italy,25-34,Social,iOS,Active
U100074,2025-10-23,Poland,25-34,Paid Search,Android,Active
U100075,2025-12-04,United Kingdom,18-24,Affiliate,iOS,Suspended
U100076,2025-02-22,Switzerland,25-34,Organic,iOS,Inactive
U100077,2025-08-05,Netherlands,25-34,Direct,Android,Active
U100078,2025-07-07,Portugal,45-54,Email,Android,Active
U100079,2026-01-15,Switzerland,35-44,Referral,iOS,Active
U100080,2026-05-08,Spain,35-44,Organic,iOS,Inactive
U100081,2025-02-10,Ireland,45-54,Referral,iOS,Active
U100082,2025-06-06,Germany,55+,Referral,Web,Active
U100083,2025-01-15,Ireland,25-34,Paid Search,Android,Inactive
U100084,2025-03-06,India,25-34,Social,Android,Active
U100085,2026-06-05,Ireland,35-44,Organic,Android,Inactive
U100086,2025-12-10,Portugal,35-44,Paid Search,Android,Inactive
U100087,2025-05-09,Austria,18-24,Paid Search,iOS,Inactive
U100088,2026-04-17,Portugal,35-44,Organic,Web,Active
U100089,2025-03-04,Sweden,35-44,Paid Search,Android,Active
U100090,2025-05-19,France,55+,Referral,iOS,Inactive
U100091,2026-05-14,Austria,35-44,Affiliate,Android,Active
U100092,2026-08-16,Sweden,35-44,Direct,Web,Inactive
U100093,2026-01-27,Italy,45-54,Paid Search,Android,Active
U100094,2026-02-23,France,18-24,Organic,Android,Active
U100095,2025-10-16,Belgium,35-44,Social,Web,Inactive
U100096,2026-01-14,Spain,35-44,Direct,iOS,Active
U100097,2026-05-05,Austria,25-34,Referral,iOS,Active
U100098,2025-08-19,Italy,35-44,Direct,iOS,Active
U100099,2025-02-10,Ireland,25-34,Referral,iOS,Active
U100100,2025-01-28,United Kingdom,35-44,Social,Android,Active
U100101,2025-05-15,United Kingdom,25-34,Organic,Android,Active
U100102,2025-07-20,Italy,25-34,Organic,iOS,Active
U100103,2025-02-02,Switzerland,25-34,Affiliate,iOS,Active
U100104,2025-02-17,Germany,25-34,Paid Search,Android,Active
U100105,2026-05-18,Denmark,35-44,Paid Search,Android,Active
U100106,2026-02-11,France,25-34,Social,Web,Active
U100107,2026-07-28,Belgium,25-34,Direct,iOS,Inactive
U100108,2025-04-09,Germany,45-54,Paid Search,iOS,Active
U100109,2026-07-01,Spain,55+,Organic,iOS,Active
U100110,2026-04-07,France,35-44,Email,iOS,Suspended
U100111,2025-01-05,Italy,35-44,Email,iOS,Active
U100112,2025-08-06,United Kingdom,35-44,Organic,Android,Active
U100113,2026-05-18,Austria,25-34,Referral,iOS,Active
U100114,2026-02-02,Spain,55+,Paid Search,Web,Active
U100115,2026-01-28,Germany,35-44,Email,Android,Active
U100116,2025-07-26,Switzerland,25-34,Referral,iOS,Inactive
U100117,2025-01-15,Ireland,25-34,Organic,iOS,Active
U100118,2026-07-08,Belgium,35-44,Social,iOS,Active
U100119,2026-04-06,Germany,25-34,Organic,iOS,Inactive
U100120,2026-07-29,Ireland,25-34,Paid Search,Android,Active
U100121,2025-08-29,Italy,45-54,Social,iOS,Active
